old,weird,new,lng,lat
S1,1,0,-73.99107,40.730054
S2,2,1,-74.000193,40.718803
S3,3,2,-73.983849,40.761728
S4,4,3,-73.97499915,40.68086214
S5,5,4,-73.89488591,40.66471445
S6,6,5,-73.90087,40.884667
S7,7,6,-73.95806671,40.80058156
S8,8,7,-73.940859,40.679919
S9,9,8,-73.89878838,40.74971953
S10,10,9,-73.92901818,40.75196004
S11,11,10,-73.9874094,40.71830606
S12,12,11,-73.89165773,40.67802821
S13,13,12,-73.879626,40.68152
S14,14,13,-73.844435,40.695166
S15,15,14,-73.98177094,40.69064812
S16,16,15,-73.82758075,40.58326844
S17,17,16,-73.8136514,40.58809156
S18,18,17,-73.89175225,40.82998745
S19,19,18,-73.89661738,40.82214213
S20,20,19,-73.900741,40.856093
S21,21,20,-73.910136,40.8459
S22,22,21,-73.918432,40.833769
S23,23,22,-73.845625,40.754622
S24,24,23,-73.869527,40.749145
S25,25,24,-73.83003,40.7596
S26,26,25,-73.832569,40.84681
S27,27,26,-73.926138,40.810476
S28,28,27,-73.851222,40.834255
S29,29,28,-74.004131,40.713065
S30,30,29,-73.847036,40.836488
S31,31,30,-73.9767133,40.75180743
S32,32,31,-73.982076,40.746081
S33,33,32,-73.95107,40.785672
S34,34,33,-73.959874,40.77362
S35,35,34,-73.91038357,40.6828513
S36,36,35,-73.98311,40.67731567
S37,37,36,-73.88203475,40.74237008
S38,38,37,-73.920786,40.678822
S39,39,38,-73.86748068,40.85719241
S40,40,39,-73.86613411,40.87783939
S41,41,40,-73.85431531,40.89828652
S42,42,41,-73.95809974,40.67076515
S43,43,42,-73.8930664,40.82397684
S44,44,43,-73.86835609,40.84876867
S45,45,44,-73.95007935,40.65665931
S46,46,45,-73.88940492,40.66551796
S47,47,46,-73.92738475,40.81830344
S48,48,47,-73.925692,40.82823033
S49,49,48,-73.967967,40.762526
S50,50,49,-73.904098,40.812118
S51,51,50,-73.874516,40.829521
S52,52,51,-73.886283,40.826525
S53,53,52,-73.867618,40.831509
S54,54,53,-73.902984,40.74563
S55,55,54,-73.755405,40.603995
S56,56,55,-73.97633658,40.7755194
S57,57,56,-73.96460246,40.7916188
S58,58,57,-73.939561,40.840719
S59,59,58,-73.893509,40.866978
S60,60,59,-73.984591,40.754184
S61,61,60,-73.9620313,40.66163346
S62,62,61,-73.99534883,40.63147876
S63,63,62,-73.81701287,40.70289855
S64,64,63,-73.83037027,40.71403482
S65,65,64,-73.80800472,40.70038242
S66,66,65,-73.9460547,40.74776812
S67,67,66,-73.85286048,40.72650548
S68,68,67,-73.87722086,40.73681342
S69,69,68,-73.978172,40.63611867
S70,70,69,-73.95999,40.688889
S71,71,70,-73.95031226,40.70612658
S72,72,71,-73.950248,40.714072
S73,73,72,-73.901916,40.669145
S74,74,73,-73.9039586,40.68886654
S75,75,74,-73.91663888,40.68641527
S76,76,75,-73.947355,40.703844
S77,77,76,-74.011516,40.634971
S78,78,77,-73.929862,40.756442
S79,79,78,-73.925823,40.761432
S80,80,79,-73.986768,40.754612
S81,81,80,-73.979189,40.75276867
S82,82,81,-73.957624,40.67477167
S83,83,82,-73.832163,40.684331
S84,84,83,-74.00030815,40.73225449
S85,85,84,-73.97192,40.757107
S86,86,85,-73.976218,40.788644
S87,87,86,-73.8573624,40.89314324
S88,88,87,-73.982209,40.77344
S89,89,88,-73.890549,40.820948
S90,90,89,-74.006277,40.722854
S91,91,90,-73.836322,40.843863
S92,92,91,-73.986599,40.739864
S93,93,92,-73.945264,40.747023
S94,94,93,-73.981929,40.768247
S95,95,94,-73.948916,40.742216
S96,96,95,-73.995657,40.744081
S97,97,96,-74.005367,40.728251
S98,98,97,-73.837683,40.681711
S99,99,98,-73.81583269,40.60840218
S100,100,99,-73.968501,40.57631167
S101,101,100,-73.953581,40.742626
S102,102,101,-73.96387,40.768141
S103,103,102,-73.94016354,40.75063565
S104,104,103,-73.843853,40.680429
S105,105,104,-73.989951,40.734673
S106,106,105,-73.953522,40.689627
S107,107,106,-73.97973581,40.66003569
S108,108,107,-73.98025118,40.66624469
S109,109,108,-73.975776,40.65078167
S110,110,109,-73.97972116,40.644272
S111,111,110,-73.9643578,40.6439046
S112,112,111,-73.96288246,40.65049325
S113,113,112,-73.96269487,40.63514194
S114,114,113,-73.96145344,40.65507304
S115,115,114,-73.97095633,40.6752947
S116,116,115,-73.97754994,40.68442017
S117,117,116,-73.911946,40.67834
S118,118,117,-73.975375,40.687119
S119,119,118,-73.966796,40.688094
S120,120,119,-73.97285279,40.67710218
S121,121,120,-73.97678344,40.68448832
S122,122,121,-73.97881,40.68366567
S123,123,122,-73.990151,40.692404
S124,124,123,-73.835919,40.672097
S125,125,124,-73.860495,40.854364
S126,126,125,-73.855359,40.858985
S127,127,126,-73.950426,40.680438
S128,128,127,-73.9804068,40.68831058
S129,129,128,-73.96422204,40.67203224
S130,130,129,-73.94884798,40.64512352
S131,131,130,-73.94945514,40.65086069
S132,132,131,-73.94829991,40.63999124
S133,133,132,-73.94754121,40.63284241
S134,134,133,-73.95072891,40.66277299
S135,135,134,-73.93293256,40.66897831
S136,136,135,-73.94215978,40.66948145
S137,137,136,-73.951183,40.72448
S138,138,137,-73.954425,40.731267
S139,139,138,-73.957832,40.708383
S140,140,139,-73.953488,40.70689
S141,141,140,-73.929849,40.813224
S142,142,141,-73.97524851,40.76008683
S143,143,142,-73.96907237,40.75746831
S144,144,143,-73.988698,40.745454
S145,145,144,-73.98793683,40.74964456
S146,146,145,-73.98168087,40.73097498
S147,147,146,-73.986229,40.755983
S148,148,147,-73.951424,40.712774
S149,149,148,-73.940497,40.711576
S150,150,149,-73.943944,40.714576
S151,151,150,-73.956665,40.717174
S152,152,151,-73.93979285,40.70739106
S153,153,152,-73.9438156,40.74630503
S154,154,153,-73.9496,40.74412867
S155,155,154,-73.93285138,40.75276306
S156,156,155,-73.95036,40.826551
S157,157,156,-73.94489,40.834041
S158,158,157,-73.972323,40.793919
S159,159,158,-73.968379,40.799446
S160,160,159,-73.951822,40.799075
S161,161,160,-73.96137008,40.79606074
S162,162,161,-73.98197,40.778453
S163,163,162,-73.97209795,40.78134608
S164,164,163,-73.83692369,40.71804465
S165,165,164,-73.96882849,40.78582305
S166,166,165,-73.966847,40.803967
S167,167,166,-73.96411,40.807722
S168,168,167,-73.945495,40.807754
S169,169,168,-73.94077,40.814229
S170,170,169,-73.949625,40.802098
S171,171,170,-73.905227,40.85041
S172,172,171,-73.953676,40.822008
S173,173,172,-73.936245,40.820421
S174,174,173,-73.911794,40.84848
S175,175,174,-73.907684,40.853453
S176,176,175,-73.9134,40.839306
S177,177,176,-73.940133,40.840556
S178,178,177,-73.933596,40.849505
S179,179,178,-73.929412,40.855225
S180,180,179,-73.939704,40.847391
S181,181,180,-73.776013,40.592943
S182,182,181,-73.788522,40.592374
S183,183,182,-73.82052059,40.58538569
S184,184,183,-73.83559009,40.58095587
S185,185,184,-73.768175,40.595398
S186,186,185,-73.761353,40.600066
S187,187,186,-73.803289,40.707572
S188,188,187,-73.7934742,40.7105175
S189,189,188,-73.8627,40.749865
S190,190,189,-73.855334,40.75173
S191,191,190,-73.8616182,40.72976397
S192,192,191,-73.86505,40.677044
S193,193,192,-73.979917,40.783934
S194,194,193,-73.903097,40.67534467
S195,195,194,-74.002906,40.733422
S196,196,195,-73.825798,40.685951
S197,197,196,-73.987691,40.755477
S198,198,197,-73.97595787,40.57603382
S199,199,198,-73.993365,40.747215
S200,200,199,-73.984264,40.74307
S201,201,200,-73.828121,40.852462
S202,202,201,-73.842952,40.839892
S203,203,202,-73.997871,40.74104
S204,204,203,-73.976041,40.751431
S205,205,204,-73.796924,40.590927
S206,206,205,-74.000495,40.732338
S207,207,206,-73.860087,40.692427
S208,208,207,-73.852052,40.693704
